plot_ID,burn_severity,WD_0cm_mean.sec,WD_1cm_mean.sec,WD_2cm_mean.sec,WD_3cm_mean.sec,WD_4cm.prop,WD_5cm.prop,litter_depth_mean.cm,theta_i_mean.percent,S_geomean.mm_hr0.5,kfs_geomean.mm_hr,bulk_density_mean.gcm3,sand_mean.percent,silt_mean.percent,clay_mean.percent,total_organic_carbon_mean.percent,total_nitrogen_mean.percent,grd_bare_soil.prop,grd_cryptogram.prop,grd_feces.prop,grd_forb.prop,grd_graminoid.prop,grd_litter.prop,grd_rock.prop,grd_standing_dead.prop,grd_tree.prop,grd_woody_dead.prop,grd_basal.prop,can_forb.prop,can_graminoid.prop,can_litter.prop,can_standing_dead.prop,can_tree.prop,can_woody_dead.prop,can_total.prop,can_foliar.prop,over_PIPO.prop,over_PSME.prop,over_QUGA.prop,over_total.prop
1,high,3.074380165289256,4.809917355371901,4.264462809917355,3.074380165289256,0,0,0.1884297520661157,1.1415730337078651,70.74995998274396,137.30953752016686,1.1120207372499997,71,26.5,2.5,2.8,0.165,0.5950413223140496,0,0,0,0,0.23140495867768596,0.1322314049586777,0.01652892561983471,0,0.024793388429752067,0,0.4380165289256198,0.06611570247933884,0.10743801652892562,0.024793388429752067,0,0.049586776859504134,0.6446280991735537,0.5041322314049587,0,0,0,0
2,high,4.4958677685950414,5.454545454545454,3.520661157024793,4.4958677685950414,0,0,0.30991735537190085,1.0101694915254238,100.39481219245106,182.2266789430805,1.1460239055,74.5,22,3.5,2.6,0.14250000000000002,0.5041322314049587,0,0,0.01652892561983471,0,0.2396694214876033,0.18181818181818182,0,0,0.05785123966942149,0.01652892561983471,0.45454545454545453,0.008264462809917356,0.05785123966942149,0,0,0,0.4793388429752066,0.45454545454545453,0,0,0,0
3,high,4.322314049586777,3.87603305785124,3.446280991735537,4.322314049586777,0.008264462809917356,0.008264462809917356,0.3711864406779661,1.226,80.34238784493792,109.42288435834566,1.0286883753333333,73.5,22.5,4,2.675,0.1625,0.3305785123966942,0,0,0,0,0.3305785123966942,0.24793388429752067,0,0,0.09090909090909091,0,0.47107438016528924,0.008264462809917356,0.08264462809917356,0,0,0.049586776859504134,0.5537190082644629,0.47107438016528924,0,0,0,0
4,moderate,7.177966101694915,14.220338983050848,6.389830508474576,7.177966101694915,0.025423728813559324,0.025423728813559324,0.5588235294117647,0.8247706422018348,89.88024762400636,169.15454947827862,1.1152458407499997,72.5,24.5,3,3.15,0.20750000000000005,0.11570247933884298,0.008264462809917356,0,0,0,0.6776859504132231,0.0743801652892562,0.01652892561983471,0,0.10743801652892562,0,0.2975206611570248,0.008264462809917356,0.049586776859504134,0.008264462809917356,0,0.01652892561983471,0.35537190082644626,0.2975206611570248,0,0,0,0
5,moderate,3.8135593220338984,5.635593220338983,3.1440677966101696,3.8135593220338984,0.01694915254237288,0,0.7191666666666666,1.5742857142857143,69.4662897032051,131.17785383334572,1.266499675,71,25,4,2.5500000000000003,0.14,0.21487603305785125,0.049586776859504134,0,0,0,0.5041322314049587,0.12396694214876033,0,0,0.10743801652892562,0,0.5867768595041323,0,0.01652892561983471,0,0,0.04132231404958678,0.6198347107438017,0.5867768595041323,0,0,0,0
6,moderate,3,4.325,3.5416666666666665,3,0.016666666666666666,0,0.37833333333333335,1.2773584905660378,75.07887302758218,145.7596189732538,1.071686547,71.5,25.5,3,2.175,0.13,0.2066115702479339,0.024793388429752067,0,0.008264462809917356,0,0.5702479338842975,0.12396694214876033,0.008264462809917356,0,0.05785123966942149,0.008264462809917356,0.33884297520661155,0,0.03305785123966942,0,0,0.024793388429752067,0.371900826446281,0.33884297520661155,0,0,0,0
7,low,3.2457627118644066,4.686440677966102,4.364406779661017,3.2457627118644066,0,0,0.415,2.4,96.02249586893126,136.4529640577603,1.0128857212499995,70,25.333333333333332,4.666666666666667,2.45,0.1675,0.2396694214876033,0.049586776859504134,0,0.01652892561983471,0.008264462809917356,0.5950413223140496,0.05785123966942149,0.01652892561983471,0,0.01652892561983471,0.024793388429752067,0.45454545454545453,0.06611570247933884,0.04132231404958678,0.01652892561983471,0,0.03305785123966942,0.5619834710743802,0.5206611570247934,0,0,0,0
8,low,3.575,11.2,14.675,3.575,0.075,0.075,1.2941176470588236,1.15625,87.95307615653822,197.49758569897966,1.00823590475,67,27.5,5.5,1.975,0.10250000000000001,0.09090909090909091,0.03305785123966942,0,0,0,0.6942148760330579,0.049586776859504134,0,0.01652892561983471,0.11570247933884298,0.01652892561983471,0.2644628099173554,0,0.024793388429752067,0,0.01652892561983471,0.04132231404958678,0.33884297520661155,0.2809917355371901,0,0.45454545454545453,0,0.45454545454545453
9,low,3,10.983333333333333,16.641666666666666,3,0.06666666666666667,0.06666666666666667,1.1834710743801653,1.11875,77.8800776352445,118.40088158268814,0.9598530510000001,64.5,27,8.5,2.625,0.14,0.03305785123966942,0.024793388429752067,0,0,0,0.8760330578512396,0.008264462809917356,0,0,0.05785123966942149,0,0.4132231404958678,0.008264462809917356,0.03305785123966942,0.008264462809917356,0.01652892561983471,0.024793388429752067,0.4793388429752066,0.4297520661157025,0,0.049586776859504134,0,0.049586776859504134
10,unburned,79.84347826086956,59.608695652173914,47.165217391304346,79.84347826086956,0.13793103448275862,0.11206896551724138,5.37280701754386,1.8151515151515152,16.790261585858268,13.125899801757887,1.1253424059999997,71.5,21,7.5,4.5,0.29,0,0,0,0,0.024793388429752067,0.9090909090909091,0.008264462809917356,0,0,0.05785123966942149,0.024793388429752067,0,0.18181818181818182,0.049586776859504134,0,0.008264462809917356,0.03305785123966942,0.23140495867768596,0.19008264462809918,0.3305785123966942,0.4793388429752066,0.03305785123966942,0.7851239669421488
11,unburned,81.32478632478633,43.69230769230769,34.56410256410256,81.32478632478633,0.06837606837606838,0.05128205128205128,6.247008547008547,3.1341463414634148,10.219459455184612,17.419894448883447,0.969911508,71.5,22,6.5,5.15,0.305,0,0,0.008264462809917356,0,0.008264462809917356,0.8677685950413223,0.008264462809917356,0,0.008264462809917356,0.09917355371900827,0.01652892561983471,0,0.0743801652892562,0.049586776859504134,0,0,0.024793388429752067,0.1487603305785124,0.0743801652892562,0.03305785123966942,0.9173553719008265,0,0.9173553719008265
12,unburned,90.66386554621849,74.85,64.825,90.66386554621849,0.23333333333333334,0.2,5.629752066115702,2.1787878787878787,25.46841623503362,11.910485622705593,1.064898011,69.5,23,7.5,5.65,0.3425000000000001,0.008264462809917356,0,0,0,0.008264462809917356,0.9173553719008265,0.008264462809917356,0,0.008264462809917356,0.049586776859504134,0.01652892561983471,0,0.04132231404958678,0.008264462809917356,0,0,0.008264462809917356,0.049586776859504134,0.04132231404958678,0.2809917355371901,0.6611570247933884,0.12396694214876033,0.7603305785123967
